curbcut	stopid
Yes	"21,565"
Yes	"21,757"
Yes	"22,291"
No	"22,208"
Yes	"22,320"
Yes	"22,321"
Yes	"22,323"
Yes	"22,330"
Yes	"21,490"
Yes	"21,494"
Yes	"21,512"
Yes	"21,522"
Yes	"22,132"
Yes	"22,152"
Yes	"22,159"
Yes	"22,181"
Yes	"21,551"
Yes	"21,554"
No	"22,215"
Yes	"21,688"
Yes	"21,690"
Yes	"21,539"
Yes	"21,612"
Yes	"21,617"
Yes	"21,628"
Yes	"21,635"
Yes	"21,684"
Yes	"21,694"
Yes	"21,695"
Yes	"21,696"
Yes	"21,707"
No	"21,713"
Yes	"21,730"
Yes	"21,734"
Yes	"21,738"
Yes	"21,752"
Yes	"21,792"
Yes	"22,624"
Yes	"22,629"
Yes	"22,672"
Yes	"22,680"
Yes	"22,682"
Yes	"22,695"
Yes	"22,728"
Yes	"22,434"
No	"22,453"
Yes	"22,458"
Yes	"22,469"
Yes	"22,510"
Yes	"22,514"
Yes	"22,543"
Yes	"22,555"
No	"22,560"
No	"22,561"
Yes	"22,567"
Yes	"22,570"
Yes	"22,579"
Yes	"22,595"
No	"23,741"
Yes	"23,742"
Yes	"23,743"
Yes	"23,745"
Yes	"23,461"
Yes	"23,463"
Yes	"23,752"
Yes	"23,762"
Yes	"22,995"
Yes	"23,763"
Yes	"23,773"
Yes	"22,736"
Yes	"22,737"
Yes	"22,740"
Yes	"22,747"
Yes	"22,755"
Yes	"22,790"
Yes	"22,791"
Yes	"22,799"
Yes	"22,816"
No	"22,818"
Yes	"22,820"
Yes	"22,825"
Yes	"22,830"
Yes	"22,856"
Yes	"22,859"
Yes	"23,805"
Yes	"23,808"
Yes	"22,721"
Yes	"23,376"
Yes	"23,377"
Yes	"23,382"
Yes	"23,386"
No	"23,395"
Yes	"22,918"
Yes	"22,920"
Yes	"23,939"
Yes	"22,861"
Yes	"22,863"
Yes	"22,868"
Yes	"22,869"
Yes	"22,884"
Yes	"22,894"
No	"22,896"
Yes	"22,911"
Yes	"22,912"
Yes	"22,914"
Yes	"22,916"
Yes	"22,936"
Yes	"22,938"
Yes	"22,940"
Yes	"22,941"
Yes	"22,962"
Yes	"22,963"
Yes	"22,964"
Yes	"22,991"
Yes	"23,958"
Yes	"23,959"
Yes	"23,972"
Yes	"23,973"
Yes	"23,942"
Yes	"23,315"
Yes	"23,978"
Yes	"23,993"
Yes	"23,998"
Yes	"24,003"
Yes	"24,014"
Yes	"24,029"
Yes	"24,039"
Yes	"23,337"
Yes	"23,360"
Yes	"21,744"
Yes	"22,998"
Yes	"23,008"
No	"23,022"
Yes	"23,052"
Yes	"23,145"
Yes	"23,150"
Yes	"23,157"
Yes	"23,158"
No	"23,160"
Yes	"23,164"
No	"23,172"
No	"23,174"
Yes	"23,180"
No	"23,957"
No	"23,961"
Yes	"23,950"
Yes	"24,021"
Yes	"24,041"
Yes	"24,044"
Yes	"24,045"
Yes	"24,049"
Yes	"23,923"
Yes	"23,371"
Yes	"23,412"
No	"23,672"
Yes	"23,857"
Yes	"23,860"
Yes	"23,867"
Yes	"23,872"
Yes	"23,877"
Yes	"23,890"
No	"23,893"
Yes	"23,899"
Yes	"23,277"
Yes	"23,284"
Yes	"23,291"
No	"23,197"
Yes	"23,202"
No	"23,210"
Yes	"23,226"
Yes	"23,233"
Yes	"23,235"
No	"23,264"
Yes	"23,308"
Yes	"23,310"
Yes	"23,356"
Yes	"23,393"
Yes	"23,399"
Yes	"23,422"
Yes	"23,430"
Yes	"23,437"
Yes	"23,446"
No	"23,447"
No	"23,450"
Yes	"23,453"
Yes	"23,454"
Yes	"23,468"
Yes	"23,471"
Yes	"23,472"
Yes	"23,487"
Yes	"23,495"
Yes	"23,528"
Yes	"23,545"
Yes	"23,546"
Yes	"23,560"
Yes	"23,563"
Yes	"23,565"
Yes	"23,572"
Yes	"23,573"
No	"23,082"
Yes	"23,676"
No	"23,372"
Yes	"23,681"
Yes	"23,682"
Yes	"22,657"
Yes	"22,719"
Yes	"22,192"
No	"22,187"
Yes	"22,394"
Yes	"22,416"
Yes	"22,417"
Yes	"22,429"
Yes	"23,705"
Yes	"23,710"
Yes	"23,715"
Yes	"19,393"
Yes	"19,422"
No	"1,570"
Yes	"2,112"
No	"19,836"
No	"1,955"
No	"18,628"
Yes	"18,629"
No	"1,956"
Yes	"20,166"
Yes	"20,168"
No	"20,169"
Yes	"20,171"
No	"15,498"
Yes	"17,213"
No	"1,192"
Yes	"17,771"
No	"16,995"
Yes	"19,284"
Yes	"19,286"
No	"6,678"
Yes	"20,139"
No	"1,704"
No	"18,378"
No	"1,817"
No	"15,358"
Yes	"1,964"
Yes	"15,340"
Yes	"15,370"
Yes	"16,395"
Yes	"1,720"
No	"20,204"
No	"20,205"
No	"2,109"
Yes	"2,122"
No	"1,639"
No	"1,641"
No	952
Yes	"23,054"
Yes	"22,336"
Yes	"22,484"
Yes	"22,485"
Yes	"22,499"
Yes	"23,090"
Yes	"23,095"
Yes	"23,102"
No	"19,094"
No	"14,963"
No	"14,962"
No	"8,505"
No	"14,972"
No	"14,975"
No	"1,872"
Yes	"20,266"
No	"20,277"
Yes	"23,108"
Yes	"23,116"
Yes	"16,103"
Yes	"16,114"
Yes	"16,127"
Yes	"16,498"
Yes	"16,505"
Yes	"16,507"
Yes	"16,511"
Yes	"16,524"
Yes	"16,577"
Yes	"16,600"
Yes	"1,674"
No	"1,785"
No	"1,458"
No	"1,494"
No	"1,500"
Yes	"1,310"
Yes	"21,026"
Yes	"21,037"
Yes	"21,047"
Yes	"21,050"
Yes	"21,067"
Yes	"21,079"
Yes	"16,609"
Yes	"18,726"
Yes	"18,739"
Yes	"18,751"
No	"18,756"
No	"18,758"
Yes	"18,759"
Yes	"1,993"
No	"18,764"
Yes	"20,300"
Yes	"20,301"
Yes	"20,303"
Yes	"20,308"
Yes	"20,309"
No	"20,315"
No	"20,318"
Yes	"20,335"
No	"20,339"
No	"1,372"
No	"1,506"
No	"1,512"
No	273
Yes	"10,282"
No	"14,952"
Yes	60
No	"1,394"
No	"19,014"
Yes	"19,018"
No	"2,352"
No	"2,353"
No	"1,468"
No	"1,486"
Yes	"18,461"
Yes	"18,465"
Yes	"21,128"
No	"21,143"
Yes	"17,202"
No	"1,698"
Yes	"19,688"
No	"1,415"
Yes	"20,966"
Yes	"18,475"
No	"18,999"
Yes	"16,844"
Yes	"16,847"
Yes	"16,856"
No	"19,084"
Yes	"1,598"
No	"1,421"
Yes	"16,874"
No	"16,880"
Yes	"16,892"
Yes	"16,893"
No	"14,790"
No	"2,315"
Yes	"18,662"
No	"18,663"
Yes	"18,809"
Yes	"18,822"
Yes	"18,829"
Yes	"18,830"
No	"1,443"
No	"19,054"
No	"15,630"
No	"2,289"
No	"1,307"
Yes	"1,313"
No	"1,314"
No	"1,323"
No	"1,334"
Yes	"17,556"
Yes	"17,563"
Yes	384
Yes	"15,438"
No	"16,784"
Yes	"17,439"
Yes	"17,522"
No	"1,296"
No	"1,299"
No	"1,301"
Yes	"18,788"
Yes	"18,791"
Yes	"18,801"
Yes	"18,803"
Yes	"18,806"
Yes	"2,100"
Yes	"20,361"
Yes	"20,365"
Yes	"2,146"
Yes	"1,175"
Yes	"15,493"
Yes	"15,495"
Yes	"15,706"
Yes	"15,711"
Yes	"15,718"
Yes	"1,176"
Yes	"16,085"
Yes	"15,851"
Yes	416
Yes	"2,448"
No	"2,452"
No	"1,392"
Yes	"2,458"
No	"2,459"
No	217
Yes	"21,178"
Yes	"21,182"
No	"1,795"
No	"1,800"
No	"1,809"
No	"17,084"
No	"16,895"
Yes	"15,430"
Yes	"15,434"
Yes	"1,660"
Yes	"19,424"
Yes	"19,425"
Yes	"19,431"
Yes	"2,496"
Yes	"19,450"
No	"19,452"
Yes	"16,382"
Yes	"15,898"
Yes	"15,911"
Yes	"15,913"
No	179
No	"1,924"
No	"1,930"
No	"17,353"
No	"16,901"
No	"16,902"
Yes	158
No	159
Yes	"17,241"
Yes	"17,244"
Yes	"17,246"
Yes	"17,249"
Yes	"17,262"
No	"18,597"
Yes	"18,617"
Yes	"18,618"
No	"18,624"
Yes	"19,336"
Yes	"19,380"
No	"1,373"
Yes	"18,285"
Yes	"18,296"
Yes	"18,300"
Yes	"18,302"
No	"18,305"
No	206
Yes	"19,633"
No	"19,634"
Yes	"19,638"
Yes	"1,155"
Yes	"19,647"
Yes	"19,650"
Yes	"19,651"
Yes	"19,654"
Yes	"19,662"
No	"19,671"
Yes	599
Yes	"10,257"
Yes	"10,258"
Yes	"20,959"
Yes	214
Yes	218
Yes	"18,284"
Yes	"1,347"
Yes	"18,221"
Yes	"18,231"
Yes	"18,236"
Yes	"19,582"
Yes	"16,212"
Yes	"16,569"
Yes	"15,188"
Yes	"15,189"
Yes	"5,152"
Yes	"21,221"
